Cust_Chn_Nm	UNT_NAM	Trx_Amt
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	-3275450.00
武汉京东世纪贸易有限公司	长江存储科技有限责任公司	4802.98
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	-7485360.57
武汉京东世纪贸易有限公司	长江存储科技有限责任公司	2733.60
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	-103441.36
武汉京东世纪贸易有限公司	长江存储科技有限责任公司	435.83
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	-50000.00
武汉京东世纪贸易有限公司	长江存储科技有限责任公司	1392.59
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	630857.41
武汉京东世纪贸易有限公司	长江存储科技有限责任公司	87.90
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	-95767.50
武汉京东世纪贸易有限公司	长江存储科技有限责任公司	220.96
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	362534.80
武汉京东世纪贸易有限公司	长江存储科技有限责任公司	223.99
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	36403.74
武汉京东世纪贸易有限公司	长江存储科技有限责任公司	4258.74
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	-12464.89
武汉京东世纪贸易有限公司	长江存储科技有限责任公司	86.72
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	411.92
武汉京东世纪贸易有限公司	长江存储科技有限责任公司	13548.87
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	327.00
武汉京东世纪贸易有限公司	长江存储科技有限责任公司	654.80
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	-179.99
武汉京东世纪贸易有限公司	长江存储科技有限责任公司	332.20
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	-89263.78
武汉京东世纪贸易有限公司	长江存储科技有限责任公司	201.69
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	-1291495.14
武汉京东世纪贸易有限公司	长江存储科技有限责任公司	253.40
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	-22121.78
武汉京东世纪贸易有限公司	长江存储科技有限责任公司	10432.98
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	23100.00
武汉京东世纪贸易有限公司	长江存储科技有限责任公司	333.76
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	-1473.20
武汉京东世纪贸易有限公司	长江存储科技有限责任公司	158.12
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	-399271.04
武汉京东世纪贸易有限公司	长江存储科技有限责任公司	145.50
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	627714.97
武汉京东世纪贸易有限公司	长江存储科技有限责任公司	1216.24
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	-148673.67
武汉京东世纪贸易有限公司	长江存储科技有限责任公司	257.05
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	152.00
武汉京东世纪贸易有限公司	长江存储科技有限责任公司	504.80
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	1027464.31
武汉京东世纪贸易有限公司	长江存储科技有限责任公司	436.48
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	-14500.00
武汉京东世纪贸易有限公司	长江存储科技有限责任公司	2052.35
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	266000.00
武汉京东世纪贸易有限公司	长江存储科技有限责任公司	5552.14
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	17484.28
武汉京东世纪贸易有限公司	长江存储科技有限责任公司	121.62
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	-8583414.03
武汉京东世纪贸易有限公司	长江存储科技有限责任公司	750.00
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	-885574.00
武汉京东世纪贸易有限公司	长江存储科技有限责任公司	4052.99
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	-6684.40
武汉京东世纪贸易有限公司	长江存储科技有限责任公司	7490.64
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	48157.98
武汉京东世纪贸易有限公司	长江存储科技有限责任公司	93.92
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	195607.10
武汉京东世纪贸易有限公司	长江存储科技有限责任公司	7901.34
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	-119238.42
武汉京东世纪贸易有限公司	长江存储科技有限责任公司	300.26
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	-22520.90
武汉京东世纪贸易有限公司	长江存储科技有限责任公司	4813.94
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	2946.70
武汉京东世纪贸易有限公司	长江存储科技有限责任公司	3267.71
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	6074.18
武汉京东世纪贸易有限公司	长江存储科技有限责任公司	3395.30
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	-1917.70
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	7321.08
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	-10000.00
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	1854.00
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	-5184.00
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	8358.00
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	-105564.60
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	-16950.00
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	-40453.41
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	4934.32
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	-43971.46
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	130858.92
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	249091.40
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	37698.00
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	-5012.84
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	-40000.00
