UNT_NAM	UNT_ADD	UNT_TEL	UNT_ID	UNT_ID_TYP	UNT_LVL	ADR_PRV	ADR_CTY	ADR_DST	PRD_TYP	DTA_SRC	CRE_DTE	BBK_NBR	ACT_IND	PRS_INF
山东齐旺达石油化工有限公司	 	 	 	 	BLK	 	济南	 	?	BLKS	2020/10/27	531	Y	洗钱
中国精密机械进出口总公司	 	 	 	 	BLK	 	总行信用卡中心	 	?	BLKS	2020/10/27	107	Y	洗钱
太原市家用纺织品行业协会	 	 	 	 	BLK	 	太原	 	?	BLKS	2020/10/27	351	Y	洗钱
康巨有限公司	 	 	 	 	BLK	 	?	 	?	BLKS	2020/10/27	295	Y	洗钱
姑苏区阁驰服装店	 	 	 	 	BLK	 	苏州	 	?	BLKS	2020/10/27	512	Y	洗钱
重庆唐家人电子商务有限公司	 	 	 	 	BLK	 	重庆	 	?	BLKS	2020/10/27	123	Y	洗钱
重庆暑序科技有限公司	?	?	?	?	BLK	重庆	重庆	?	CMG	BLKM	2019/9/2	123	QZ	养个税
衢州正垒贸易有限公司	 	 	 	 	BLK	 	衢州	 	?	BLKS	2020/10/27	570	Y	洗钱
惟娅国际有限公司	 	 	 	 	BLK	 	?	 	?	BLKS	2020/10/27	277	Y	洗钱
哈尔滨迅沃科技有限公司	 	 	 	 	BLK	 	哈尔滨	 	?	BLKS	2020/10/27	451	Y	洗钱
山西太航大酒店（有限公司）	 	 	 	 	BLK	 	太原	 	?	BLKS	2020/10/27	351	Y	洗钱
上海乐老酒店管理有限公司	 	 	 	 	BLK	 	上海	 	?	BLKS	2020/7/17	121	Y	洗钱
香港联盛贸易有限公司	 	 	 	 	BLK	 	?	 	?	BLKS	2020/10/27	277	Y	洗钱
大连亿源经济技术合作有限公司	 	 	 	 	BLK	 	大连	 	?	BLKS	2020/10/27	411	Y	洗钱
青岛福和旺企业咨询服务管理有限公司	?	?	?	?	BLK	山东	青岛	?	CMG	BLKM	2020/4/28	532	QZ	养公积金
香港金球发展有限公司	 	 	 	 	BLK	 	?	 	?	BLKS	2020/10/27	211	Y	洗钱
南京恒力化纤有限公司	 	 	 	 	BLK	 	?	 	?	BLKS	2020/7/17	222	Y	洗钱
广饶伟荣网络科技有限公司	 	 	 	 	BLK	 	东营	 	?	BLKS	2020/10/27	546	Y	洗钱
厦门途沥仂网络科技有限公司	 	 	 	 	BLK	 	厦门	 	?	BLKS	2020/10/27	592	Y	洗钱
广州睿成投资咨询有限公司	 	 	 	 	BLK	 	广州	 	?	BLKS	2020/10/27	120	Y	洗钱
甘肃安兴商务服务有限公司	?	?	?	?	BLK	?	杭州	?	?	BLKM	2020/7/17	571	Y	单位风险集中
S.E.P	 	 	 	 	BLK	 	佛山	 	?	BLKS	2020/7/17	757	Y	洗钱
DIGITAL ONLINE LIMITED	 	 	 	 	BLK	 	?	 	?	BLKS	2020/10/27	210	Y	洗钱
临沂商城存存手机店	 	 	 	 	BLK	 	临沂	 	?	BLKS	2020/10/27	539	Y	洗钱
宜信卓越财富投资管理（北京）有限公司深圳分公司	 	 	 	 	BLK	 	深圳	 	?	BLKS	2020/10/27	755	Y	洗钱
TILLBY TRADING LIMITED	 	 	 	 	BLK	 	?	 	?	BLKS	2020/7/17	205	Y	洗钱
宜信普惠信息咨询（北京）有限公司长江路分公司	 	 	 	 	BLK	 	哈尔滨	 	?	BLKS	2020/10/27	451	Y	洗钱
莱阳市贵义贸易有限公司	 	 	 	 	BLK	 	?	 	?	BLKS	2020/10/27	535	Y	洗钱
厦门梓影育贸易有限公司	 	 	 	 	BLK	 	厦门	 	?	BLKS	2020/10/27	592	Y	洗钱
重庆宗申技术开发研究有限公司	?	?	?	?	BLK	?	重庆	?	?	BLKM	2020/7/17	431	Y	工商非正常经营
山西大德通科技有限公司	 	 	 	 	BLK	 	太原	 	?	BLKS	2020/7/17	351	Y	洗钱
深圳市联智双信实业管理有限公司	?	?	?	?	BLK	广东	深圳	?	CMG	BLKM	2020/3/23	755	QZ	养公积金
杭州还婻商贸有限公司	 	 	 	 	BLK	 	杭州	 	?	BLKS	2020/10/27	571	Y	洗钱
辽宁满意不动产经纪有限公司	 	 	 	 	BLK	 	沈阳	 	?	BLKS	2020/10/27	124	Y	洗钱
西安吉源建筑有限责任公司	 	 	 	 	BLK	 	西安	 	?	BLKS	2020/10/27	129	Y	洗钱
宜信普惠信息咨询（北京）有限公司南宁第二分公司	 	 	 	 	BLK	 	南宁	 	?	BLKS	2020/10/27	771	Y	洗钱
